Source [urn:wisebed:uzl1:0x2005], Text [NB;0x2004;0x2005], Level [DEBUG], Time [2011-11-01T14:50:59.791+01:00]
Source [urn:wisebed:uzl1:0x203c], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:55.074+01:00]
Source [urn:wisebed:uzl1:0x2035], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:51:00.591+01:00]
Source [urn:wisebed:uzl1:0x2035], Text [Sread:210:226], Level [DEBUG], Time [2011-11-01T14:51:00.591+01:00]
Source [urn:wisebed:uzl1:0x2035], Text [Sread:211:30], Level [DEBUG], Time [2011-11-01T14:51:00.592+01:00]
Source [urn:wisebed:uzl1:0x2028], Text [NB;0x2029;0x2028], Level [DEBUG], Time [2011-11-01T14:50:59.907+01:00]
Source [urn:wisebed:uzl1:0x2019], Text [NB;0x2018;0x2019], Level [DEBUG], Time [2011-11-01T14:50:59.380+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NB;0x2029;0x202d], Level [DEBUG], Time [2011-11-01T14:51:00.004+01:00]
Source [urn:wisebed:uzl1:0x202d], Text [NB;0x2031;0x202d], Level [DEBUG], Time [2011-11-01T14:51:00.004+01:00]
Source [urn:wisebed:uzl1:0x203d], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:50:55.235+01:00]
Source [urn:wisebed:uzl1:0x203d], Text [Sread:211:26], Level [DEBUG], Time [2011-11-01T14:50:55.236+01:00]
Source [urn:wisebed:uzl1:0x2039], Text [NB;0x2031;0x2039], Level [DEBUG], Time [2011-11-01T14:51:00.269+01:00]
Source [urn:wisebed:uzl1:0x2020], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:51:00.296+01:00]
Source [urn:wisebed:uzl1:0x2040], Text [NB;0x2045;0x2040], Level [DEBUG], Time [2011-11-01T14:51:00.312+01:00]
Source [urn:wisebed:uzl1:0x2015], Text [Sread:212:0], Level [DEBUG], Time [2011-11-01T14:51:00.386+01:00]
Source [urn:wisebed:uzl1:0x2015], Text [Sread:210:440], Level [DEBUG], Time [2011-11-01T14:51:00.386+01:00]
Source [urn:wisebed:uzl1:0x2015], Text [Sread:211:29], Level [DEBUG], Time [2011-11-01T14:51:00.386+01:00]
Source [urn:wisebed:uzl1:0x2044], Text [NB;0x2045;0x2044], Level [DEBUG], Time [2011-11-01T14:51:00.601+01:00]
