Source [urn:wisebed:unigetestbed:0x1520], Text [Send::0x1520::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.534+01:00]
Source [urn:wisebed:unigetestbed:0x15e0], Text [Send::0x15e0::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.535+01:00]
Source [urn:wisebed:unigetestbed:0x96eb], Text [Send::0x96eb::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.633+01:00]
Source [urn:wisebed:unigetestbed:0x96fc], Text [Send::0x96fc::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.581+01:00]
Source [urn:wisebed:unigetestbed:0x9708], Text [Send::0x9708::45::0xffff::0::], Level[DEBUG], Time[2011-02-10T14:32:15.709+01:00]
Source [urn:wisebed:unigetestbed:0x1b4c], Text [Send::0x1b4c::43::0xffff::], Level[DEBUG], Time[2011-02-10T14:32:17.451+01:00]
Source [urn:wisebed:unigetestbed:0x1b84], Text [JOIN::0x1b84::0<1::], Level[DEBUG], Time[2011-02-10T14:32:17.454+01:00]
Source [urn:wisebed:unigetestbed:0x96fc], Text [JOIN::0x96fc::0<1::], Level[DEBUG], Time[2011-02-10T14:32:17.332+01:00]
Source [urn:wisebed:unigetestbed:0x9708], Text [JOIN::0x9708::0<1::], Level[DEBUG], Time[2011-02-10T14:32:17.455+01:00]
Source [urn:wisebed:unigetestbed:0x96fc], Text [Joined::0x96fc::], Level[DEBUG], Time[2011-02-10T14:32:17.333+01:00]
Source [urn:wisebed:unigetestbed:0x96e0], Text [JOIN::0x96e0::0<1::], Level[DEBUG], Time[2011-02-10T14:32:17.454+01:00]
Source [urn:wisebed:unigetestbed:0x1cb9], Text [JOIN::0x1cb9::0<1::], Level[DEBUG], Time[2011-02-10T14:32:17.455+01:00]
Source [urn:wisebed:unigetestbed:0x1b84], Text [Joined::0x1b84::], Level[DEBUG], Time[2011-02-10T14:32:17.455+01:00]
Source [urn:wisebed:unigetestbed:0x96e0], Text [Joined::0x96e0::], Level[DEBUG], Time[2011-02-10T14:32:17.457+01:00]
