Source [urn:wisebed:ctitestbed:0x9979], Text [CLS;0x9979;44;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:49.509+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [CLP;0x9979;1;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:49.509+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [CLS;0x9979;43;0xffff], Level [DEBUG], Time [2011-09-08T15:56:49.510+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [CLS;0x9979;44;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:49.510+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 210|120 statement from 0x9979], Level [DEBUG], Time [2011-09-08T15:56:49.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 211|34 statement from 0x9979], Level [DEBUG], Time [2011-09-08T15:56:49.840+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 210|110 statement from 0x153d], Level [DEBUG], Time [2011-09-08T15:56:49.841+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Received a resume with 211|30 statement from 0x153d], Level [DEBUG], Time [2011-09-08T15:56:49.841+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [CLS;0x153d;44;0xcaa], Level [DEBUG], Time [2011-09-08T15:56:49.980+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SA;0x1cde;yes], Level [DEBUG], Time [2011-09-08T15:56:50.692+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SA;0xcaa;yes], Level [DEBUG], Time [2011-09-08T15:56:50.841+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:56:57.511+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:56:57.693+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [condition 210|120], Level [DEBUG], Time [2011-09-08T15:56:57.693+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [Value 210], Level [DEBUG], Time [2011-09-08T15:56:57.693+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SA;0x1cde;no], Level [DEBUG], Time [2011-09-08T15:56:57.693+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:56:57.842+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [condition 210|120], Level [DEBUG], Time [2011-09-08T15:56:57.842+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [got a value 110], Level [DEBUG], Time [2011-09-08T15:56:57.842+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SA;0xcaa;no], Level [DEBUG], Time [2011-09-08T15:56:57.842+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Value 110], Level [DEBUG], Time [2011-09-08T15:56:57.842+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [SD;210;120], Level [DEBUG], Time [2011-09-08T15:56:57.981+03:00]
Source [urn:wisebed:ctitestbed:0x9979], Text [SD;210;110], Level [DEBUG], Time [2011-09-08T15:57:32.515+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SD;210;110], Level [DEBUG], Time [2011-09-08T15:57:32.696+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [condition 210|110], Level [DEBUG], Time [2011-09-08T15:57:32.696+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [Value 210], Level [DEBUG], Time [2011-09-08T15:57:32.696+03:00]
Source [urn:wisebed:ctitestbed:0x1cde], Text [SA;0x1cde;no], Level [DEBUG], Time [2011-09-08T15:57:32.696+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SD;210;110], Level [DEBUG], Time [2011-09-08T15:57:32.844+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [condition 210|110], Level [DEBUG], Time [2011-09-08T15:57:32.844+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [got a value 110], Level [DEBUG], Time [2011-09-08T15:57:32.844+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [SA;0xcaa;yes], Level [DEBUG], Time [2011-09-08T15:57:32.845+03:00]
Source [urn:wisebed:ctitestbed:0xcaa], Text [Value 110], Level [DEBUG], Time [2011-09-08T15:57:32.845+03:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [SD;210;110], Level [DEBUG], Time [2011-09-08T15:57:32.986+03:00]
