Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB;0x153d;Time;15; Node ;0x1bc4; has ;5; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.070+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB_BIDI;0x57b;Time;15; Node ;0xc9b; has ;4; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:53.683+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB;0x153d;Time;15; Node ;0x7b99; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.083+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [NEW_NB;0x14e7;Time;15; Node ;0x1ccd; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:55.089+02:00]
Source [urn:wisebed:ctitestbed:0x7b99], Text [NEW_NB_BIDI;0x153d;Time;15; Node ;0x7b99; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.086+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [NEW_NB_BIDI;0x14e7;Time;15; Node ;0x1ccd; has ;3; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:55.092+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB;0x153d;Time;15; Node ;0x997b; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.096+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB_BIDI;0x7b99;Time;15; Node ;0x153d; has ;4; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:55.102+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB_BIDI;0x997b;Time;15; Node ;0x153d; has ;4; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:55.103+02:00]
Source [urn:wisebed:ctitestbed:0x14e7], Text [NEW_NB_BIDI;0x1ccd;Time;15; Node ;0x14e7; has ;2; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:55.106+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB_BIDI;0x153d;Time;15; Node ;0x997b; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.099+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB;0x1c98;Time;15; Node ;0xc9b; has ;5; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:53.705+02:00]
Source [urn:wisebed:ctitestbed:0x1b85], Text [NEW_NB_BIDI;0x1b8b;Time;15; Node ;0x1b85; has ;1; neighbors;stability;0], Level[DEBUG], Time[2011-03-02T12:47:55.103+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB;0x1bc4;Time;15; Node ;0x997b; has ;5; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.102+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [NEW_NB_BIDI;0x1bc4;Time;15; Node ;0x997b; has ;5; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:55.105+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB_BIDI;0x997b;Time;15; Node ;0x1bc4; has ;5; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:55.118+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB;0x1b77;Time;18; Node ;0x57b; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:58.076+02:00]
Source [urn:wisebed:ctitestbed:0x057b], Text [NEW_NB_BIDI;0x1b77;Time;18; Node ;0x57b; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:58.076+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB;0x1b77;Time;18; Node ;0x1cd0; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:56.676+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [NEW_NB;0x1cd0;Time;18; Node ;0x1b77; has ;2; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:58.086+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [NEW_NB_BIDI;0x1cd0;Time;18; Node ;0x1b77; has ;2; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:58.086+02:00]
Source [urn:wisebed:ctitestbed:0x1b77], Text [NEW_NB_BIDI;0x57b;Time;18; Node ;0x1b77; has ;2; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:58.086+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [NEW_NB;0x1cd0;Time;18; Node ;0x1c98; has ;2; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:58.087+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB;0x1bc4;Time;18; Node ;0x153d; has ;5; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:47:58.093+02:00]
Source [urn:wisebed:ctitestbed:0x153d], Text [NEW_NB_BIDI;0x1bc4;Time;18; Node ;0x153d; has ;5; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:47:58.094+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [NEW_NB_BIDI;0x1cd0;Time;18; Node ;0x1c98; has ;2; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:47:58.090+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB_BIDI;0x1c98;Time;18; Node ;0x1cd0; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:56.698+02:00]
Source [urn:wisebed:ctitestbed:0x1cd0], Text [NEW_NB_BIDI;0x1b77;Time;21; Node ;0x1cd0; has ;4; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:47:59.670+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB_BIDI;0x153d;Time;21; Node ;0x1bc4; has ;5; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:48:01.074+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB;0x1ccd;Time;21; Node ;0x1bc4; has ;6; neighbors;stability;4], Level[DEBUG], Time[2011-03-02T12:48:01.099+02:00]
Source [urn:wisebed:ctitestbed:0x1bc4], Text [NEW_NB_BIDI;0x1ccd;Time;21; Node ;0x1bc4; has ;6; neighbors;stability;4], Level[DEBUG], Time[2011-03-02T12:48:01.102+02:00]
Source [urn:wisebed:ctitestbed:0x1ccd], Text [NEW_NB_BIDI;0x1bc4;Time;24; Node ;0x1ccd; has ;3; neighbors;stability;1], Level[DEBUG], Time[2011-03-02T12:48:04.099+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [NEW_NB;0xc9b;Time;24; Node ;0x1c98; has ;3; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:48:04.100+02:00]
Source [urn:wisebed:ctitestbed:0x1c98], Text [NEW_NB_BIDI;0xc9b;Time;24; Node ;0x1c98; has ;3; neighbors;stability;2], Level[DEBUG], Time[2011-03-02T12:48:04.104+02:00]
Source [urn:wisebed:ctitestbed:0x0c9b], Text [NEW_NB_BIDI;0x1c98;Time;24; Node ;0xc9b; has ;5; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:48:02.700+02:00]
Source [urn:wisebed:ctitestbed:0x6699], Text [DROPPED_NB;0x997b;Time;27; Node ;0x6699; has ;3; neighbors;stability;3], Level[DEBUG], Time[2011-03-02T12:48:07.099+02:00]
Source [urn:wisebed:ctitestbed:0x997b], Text [LOST_NB_BIDI;0x6699;Time;27; Node ;0x997b; has ;5; neighbors;stability;5], Level[DEBUG], Time[2011-03-02T12:48:07.119+02:00]
